iter	Passed	Remaining
461	767	894
462	769	891
463	770	889
464	771	887
465	772	885
466	773	883
467	775	881
468	776	878
469	777	876
470	778	874
471	779	872
472	780	870
473	782	867
474	783	865
475	784	863
476	785	861
477	786	858
478	787	856
479	788	854
480	789	852
481	791	850
482	792	848
483	793	846
484	794	844
485	796	841
486	797	839
487	798	837
488	799	835
489	800	833
490	801	831
491	803	829
492	804	827
493	805	825
494	806	822
495	807	820
496	808	818
497	810	816
498	811	814
499	812	812
500	813	810
501	814	808
502	815	805
503	816	803
504	818	801
505	819	799
506	820	797
507	821	795
508	822	793
509	823	791
510	824	789
511	825	787
512	827	785
513	828	783
514	829	781
515	830	778
516	831	776
517	832	774
518	833	772
519	834	770
520	836	768
521	837	766
522	838	765
523	840	763
524	841	761
525	842	759
526	843	757
527	844	755
528	846	753
529	847	751
530	848	749
531	849	747
532	850	745
533	851	743
534	853	741
535	854	739
536	855	737
537	856	735
538	857	733
539	859	732
540	860	730
541	861	727
542	862	726
543	863	724
544	865	722
545	866	720
546	867	718
547	868	716
548	869	714
549	870	712
550	871	710
551	872	708
552	874	706
553	875	704
554	876	702
555	877	700
556	878	698
557	879	696
558	880	694
559	881	692
560	882	690
561	883	688
562	884	686
563	885	684
564	885	682
565	886	680
566	887	678
567	888	675
568	889	673
569	890	672
570	892	670
571	893	668
572	894	666
573	895	664
574	896	662
575	897	660
576	898	658
577	899	656
578	900	654
579	901	653
580	902	651
581	903	649
582	904	647
583	906	645
584	907	643
585	908	641
586	909	639
587	910	638
588	911	636
589	913	634
590	914	632
591	915	630
592	916	629
593	917	627
594	918	625
595	920	623
596	921	622
597	922	620
598	923	618
599	925	616
600	926	615
601	927	613
602	928	611
603	929	609
604	930	607
605	931	605
606	933	604
607	934	602
608	935	600
609	936	598
610	938	597
611	939	595
612	940	593
613	941	591
614	942	589
615	943	588
616	944	586
617	946	584
618	947	583
619	948	581
620	950	579
621	952	578
622	954	577
623	957	576
624	959	575
625	960	573
626	961	572
627	963	570
628	964	568
629	965	566
630	966	565
631	968	563
632	969	561
633	970	560
634	971	558
635	972	556
636	973	555
637	975	553
638	976	551
639	977	549
640	978	547
641	979	546
642	980	544
643	981	542
644	982	540
645	983	539
646	984	537
647	985	535
648	986	533
649	988	532
650	989	530
651	990	528
652	991	526
653	992	525
654	993	523
655	994	521
656	995	519
657	996	518
658	998	516
659	999	514
660	1000	513
661	1001	511
662	1003	509
663	1004	508
664	1005	506
665	1006	504
666	1008	503
667	1009	501
668	1010	499
669	1011	497
670	1012	496
671	1013	494
672	1014	492
673	1015	491
674	1016	489
675	1018	487
676	1019	486
677	1020	484
678	1021	483
679	1023	481
680	1024	479
681	1025	478
682	1026	476
683	1027	474
684	1028	473
685	1029	471
686	1030	469
687	1031	467
688	1032	466
689	1033	464
690	1034	462
691	1035	461
692	1036	459
693	1037	457
694	1038	455
695	1039	454
696	1040	452
697	1041	450
698	1042	449
699	1044	447
700	1045	445
701	1046	444
702	1047	442
703	1048	440
704	1049	439
705	1050	437
706	1051	435
707	1052	434
708	1053	432
709	1055	430
710	1056	429
711	1057	427
712	1058	426
713	1060	424
714	1061	423
715	1062	421
716	1063	419
717	1064	418
718	1065	416
719	1066	414
720	1067	413
721	1068	411
722	1069	409
723	1070	408
724	1071	406
725	1072	404
726	1073	403
727	1074	401
728	1075	399
729	1076	398
730	1077	396
731	1078	394
732	1079	393
733	1080	391
734	1080	389
735	1081	388
736	1082	386
737	1083	384
738	1084	383
739	1085	381
740	1087	379
741	1088	378
742	1089	376
743	1089	375
744	1090	373
745	1091	371
746	1092	370
747	1093	368
748	1094	366
749	1095	365
750	1097	363
751	1098	362
752	1099	360
753	1100	358
754	1101	357
755	1102	355
756	1103	354
757	1104	352
758	1105	351
759	1106	349
760	1107	347
761	1109	346
762	1110	344
763	1111	343
764	1112	341
765	1113	340
766	1114	338
767	1115	336
768	1115	335
769	1116	333
770	1117	332
771	1118	330
772	1119	328
773	1120	327
774	1121	325
775	1122	323
776	1123	322
777	1124	320
778	1125	319
779	1126	317
780	1127	316
781	1128	314
782	1128	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1133	304
788	1134	303
789	1135	301
790	1136	300
791	1137	298
792	1138	297
793	1139	295
794	1140	294
795	1141	292
796	1142	290
797	1143	289
798	1144	287
799	1145	286
800	1146	284
801	1147	283
802	1148	281
803	1148	280
804	1150	278
805	1150	277
806	1151	275
807	1152	273
808	1154	272
809	1155	270
810	1156	269
811	1157	267
812	1158	266
813	1159	264
814	1160	263
815	1161	261
816	1162	260
817	1163	258
818	1164	257
819	1165	255
820	1166	254
821	1167	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1172	245
827	1173	243
828	1174	242
829	1175	240
830	1177	239
831	1178	237
832	1179	236
833	1180	234
834	1181	233
835	1182	231
836	1183	230
837	1184	228
838	1185	227
839	1186	225
840	1187	224
841	1188	223
842	1189	221
843	1190	220
844	1191	218
845	1192	217
846	1193	215
847	1194	214
848	1195	212
849	1196	211
850	1197	209
851	1199	208
852	1200	206
853	1201	205
854	1201	203
855	1202	202
856	1203	200
857	1204	199
858	1205	197
859	1206	196
860	1207	194
861	1208	193
862	1209	192
863	1210	190
864	1211	189
865	1212	187
866	1213	186
867	1214	184
868	1214	183
869	1215	181
870	1216	180
871	1217	178
872	1218	177
873	1219	175
874	1220	174
875	1221	172
876	1222	171
877	1223	170
878	1224	168
879	1225	167
880	1227	165
881	1228	164
882	1229	162
883	1230	161
884	1231	160
885	1232	158
886	1233	157
887	1234	155
888	1236	154
889	1237	152
890	1238	151
891	1240	150
892	1241	148
893	1243	147
894	1246	146
895	1248	144
896	1249	143
897	1251	142
898	1252	140
899	1253	139
900	1254	137
901	1256	136
902	1258	135
903	1260	133
904	1261	132
905	1262	130
906	1263	129
907	1264	128
908	1266	126
909	1267	125
910	1269	124
911	1271	122
912	1272	121
913	1274	119
914	1275	118
915	1277	117
916	1278	115
917	1279	114
918	1281	112
919	1282	111
920	1284	110
921	1285	108
922	1287	107
923	1288	105
924	1289	104
925	1290	103
926	1291	101
927	1292	100
928	1294	98
929	1295	97
930	1296	96
931	1297	94
932	1298	93
933	1299	91
934	1300	90
935	1301	88
936	1302	87
937	1303	86
938	1304	84
939	1305	83
940	1306	81
941	1307	80
942	1308	79
943	1310	77
944	1311	76
945	1312	74
946	1313	73
947	1314	72
948	1316	70
949	1317	69
950	1318	67
951	1320	66
952	1321	65
953	1323	63
954	1324	62
955	1326	61
956	1327	59
957	1329	58
958	1330	56
959	1332	55
960	1334	54
961	1335	52
962	1336	51
963	1338	49
964	1339	48
965	1340	47
966	1341	45
967	1343	44
968	1344	43
969	1346	41
970	1347	40
971	1349	38
972	1350	37
973	1351	36
974	1353	34
975	1354	33
976	1356	31
977	1357	30
978	1358	29
979	1360	27
980	1361	26
981	1363	24
982	1364	23
983	1366	22
984	1368	20
985	1369	19
986	1371	18
987	1372	16
988	1373	15
989	1375	13
990	1376	12
991	1377	11
992	1379	9
993	1380	8
994	1382	6
995	1383	5
996	1385	4
997	1387	2
998	1389	1
999	1390	0
